Data Export Generated on Tue Jun 22 23:32:20 PDT 2021,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Survey ID 8654879,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dashboard Name My Dashboard,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,OVERALL GREED
Response ID,Response Status,IP Address,Timestamp (mm/dd/yyyy),Duplicate,Time Taken to Complete (Seconds),Seq. Number,External Reference,Custom Variable 1,Custom Variable 2,Custom Variable 3,Custom Variable 4,Custom Variable 5,Respondent Email,Email List,Country Code,Region,1 - CHA,2 - HI,3 - CON,4 - GEN,5 - AGE,6 - EDU,7 - INC,8 - SCE,9 - VAL1,10 - VAL2,11 - INT,12 - Q1 - Row 1,13 - Q2 - Row 1,14 - Q3 - Row 1,15 - Q4 - Row 1,16 - Q5 - Row 1,17 - Q6 - Row 1,18 - Q7 - Row 1,19 - Q8 - Row 1,20 - CODE,,Q1,Q2,Q3,Q4,Q5,Q6,Q7,Q8,SCORE
47772844,Completed,72.218.200.223,6/23/2021 1:57,0,282,1,,,,,,,,,US,VA,PASS,,1,1,3,4,3,,4,I don't know if this is illegal or not but it's definitely unethical. Crimson One knew many tenants would rather pay a higher rent than go through with the hassle of moving. It's exploitation and immoral.,,7,1,7,1,7,1,7,1,803554,,7,7,7,7,7,7,7,7,56
47792456,Completed,103.147.209.192,6/23/2021 2:57,0,227,1,,,,,,,,,IN,KL,PASS,,1,1,4,5,2,,4,The company wish to make more profits. I think it is usual in business.,,4,3,5,3,5,3,4,3,232323,,4,5,5,5,5,5,4,5,38
47797519,Completed,24.18.153.117,6/23/2021 3:17,0,150,1,,,,,,,,,US,WA,PASS,,1,1,2,4,1,,4,"It is probably a pretty common thing in a typical, non-pandemic world. Businesses are businesses at the end of the day, and the goal is to make a profit. As long as the amount for the rent increased isn't absurdly high, I don't think it is too big of a deal, depending on the situation of course.",,5,4,6,3,4,1,4,3,118163,,5,4,6,5,4,7,4,5,40
47804148,Completed,104.138.194.3,6/23/2021 3:46,0,198,1,,,,,,,,,US,NC,PASS,,1,2,2,2,3,,4,"I understand it from a business standpoint but wish they would do more to protect their customers, ie. tenants",,5,4,6,4,4,2,3,3,549872,,5,4,6,4,4,6,3,5,37
47804460,Completed,67.9.86.86,6/23/2021 3:47,0,281,1,,,,,,,,,US,FL,PASS,,1,2,3,4,2,,4,I think it is wrong.  They are putting the tenants in a bad position.  They changed the rate to an abnormal amount.,,7,1,6,1,7,1,7,1,873158,,7,7,6,7,7,7,7,7,55
47810807,Completed,174.101.212.155,6/23/2021 4:18,0,146,1,,,,,,,,,US,OH,PASS,,1,1,3,2,2,,4,It upsets me that they started charging higher than normal rent to tenants. But I suppose that's just business.,,6,2,6,2,6,2,6,2,484751,,6,6,6,6,6,6,6,6,48
47813655,Completed,173.88.8.208,6/23/2021 4:33,0,283,1,,,,,,,,,US,OH,PASS,,1,2,5,4,1,,4,I don't think it is fair to charge tenants more. They should not have to pay higher rents just to make a company richer. Crimson One needs to find a different way to boost profits. ,,7,1,7,1,7,1,6,2,303030,,7,7,7,7,7,7,6,6,54
47814022,Completed,100.8.204.33,6/23/2021 4:35,0,98,1,,,,,,,,,US,NJ,PASS,,1,1,2,5,4,,4,Crimson One is trying to maximize revenue & profits. It's doing what every other business would do in its situation.,,2,5,3,3,3,3,3,4,89112,,2,3,3,5,3,5,3,4,28
47821892,Completed,79.67.125.156,6/23/2021 5:57,0,280,1,,,,,,,,,GB,KEN,PASS,,1,2,4,3,2,,4,I think their behaviour is justified because the cost of living is rising continuously. Although they should have assessed the tenants to make sure the vulnerable and the low income ones could still afford the higher rent without their living standards affected.,,4,5,6,5,4,2,2,4,80276,,4,3,6,3,4,6,2,4,32
47827172,Completed,106.214.8.172,6/23/2021 7:44,0,323,1,,,,,,,,,IN,MP,PASS,,1,1,3,5,1,,4,Crimson One company is using unethical way of money earning,,6,2,6,2,6,2,6,2,121121,,6,6,6,6,6,6,6,6,48
47828563,Completed,216.164.112.118,6/23/2021 8:14,0,262,1,,,,,,,,,US,PA,PASS,,1,1,3,2,2,,4,"I think it's a justified price increase.  If it was too high, those renters can leave.  Crimson One should have the right to charge whatever they want because they own the property.",,5,4,6,1,6,1,2,4,992572,,5,4,6,7,6,7,2,4,41
47828901,Completed,67.169.110.242,6/23/2021 8:20,0,363,1,,,,,,,,,US,CA,PASS,,1,1,3,2,3,,4,They were already in a good financial situation and still chose to increase their profits by charging higher rent. Not a good look for the company.,,6,2,6,2,7,1,7,1,512477,,6,6,6,6,7,7,7,7,52
47833624,Completed,162.192.209.190,6/23/2021 9:45,0,518,1,,,,,,,,,US,MO,PASS,,1,1,5,3,3,,4,I don't agree with their strategy. They are gaining profits but not providing extra service.,,6,2,7,2,2,1,7,2,396481,,6,6,7,6,2,7,7,6,47
47841359,Completed,68.118.158.89,6/23/2021 12:16,0,242,1,,,,,,,,,US,MI,PASS,,1,2,3,2,1,,4,"I think that Crimson One's behavior is quite unfair and largely impacts lower income households. If I were looking to rent or buy a home, I would be very discouraged from doing business with Crimson One as I would not want to support such business practices. I find their business practices to be quite unethical.",,7,1,5,1,7,1,7,1,639814,,7,7,5,7,7,7,7,7,54
47845683,Completed,72.77.26.45,6/23/2021 14:37,0,251,1,,,,,,,,,US,PA,PASS,,1,2,3,4,3,,4,"I think their behavior is wrong. Increasing rental rates, in this case, is abusive to renters. While I think it is ok (and expected) for landlords to occasionally increase rent to cover increases in taxes, etc, raising rents simply because they can get more money is wrong...especially in this case, they know that the tenants can't afford to move.",,7,1,7,1,7,1,7,1,516974,,7,7,7,7,7,7,7,7,56
